value,valid_from,valid_until
8.60,2020-11-01,2023-01-01
8.60,2023-01-01,2024-02-01
8.64,2020-10-01,2020-11-01
8.77,2020-09-01,2020-10-01
8.90,2020-08-01,2020-09-01
9.03,2020-07-01,2020-08-01
9.17,2020-06-01,2020-07-01
9.30,2020-05-01,2020-06-01
9.44,2020-04-01,2020-05-01
9.58,2020-03-01,2020-04-01
9.72,2020-02-01,2020-03-01
9.87,2020-01-01,2020-02-01
9.97,2019-12-01,2020-01-01
10.08,2019-11-01,2019-12-01
10.18,2019-10-01,2019-11-01
10.33,2019-09-01,2019-10-01
10.48,2019-08-01,2019-09-01
10.64,2019-07-01,2019-08-01
10.79,2019-06-01,2019-07-01
